,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
4833257,2,2017-01-09 17:10:34,2017-01-09 17:11:43,5,0.38,1,N,229,141,2,3.0,1.0,0.5,0.0,0.0,0.3,4.8
9697311,1,2017-01-31 22:55:06,2017-01-31 23:03:11,1,1.6,1,N,137,114,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15
7171124,1,2017-01-24 19:44:26,2017-01-24 19:44:26,1,0.0,1,Y,137,264,2,4.0,1.0,0.5,0.0,0.0,0.3,5.8
1441412,2,2017-01-18 19:04:14,2017-01-18 19:18:56,5,1.24,1,N,137,229,1,10.0,1.0,0.5,2.36,0.0,0.3,14.16
3317256,1,2017-01-03 16:11:56,2017-01-03 16:14:22,1,0.5,1,N,79,113,2,4.0,1.0,0.5,0.0,0.0,0.3,5.8
9108277,1,2017-01-30 00:06:25,2017-01-30 00:14:37,1,1.4,1,N,79,249,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55
1093773,1,2017-01-17 19:58:00,2017-01-17 20:20:12,2,8.2,1,N,132,122,1,26.0,0.5,0.5,5.45,0.0,0.3,32.75
945949,2,2017-01-17 11:48:48,2017-01-17 12:09:46,1,1.94,1,N,151,142,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
2791195,1,2017-01-08 16:25:15,2017-01-08 16:37:32,2,2.0,1,N,48,239,1,10.0,0.0,0.5,1.5,0.0,0.3,12.3
662474,2,2017-01-01 19:33:23,2017-01-01 19:43:01,1,1.56,1,N,186,48,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
7870103,2,2017-01-26 20:10:22,2017-01-26 20:16:07,1,1.28,1,N,161,236,1,6.5,0.5,0.5,1.2,0.0,0.3,9.0
4211276,2,2017-01-20 16:31:13,2017-01-20 16:34:36,1,0.73,1,N,43,230,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3
7722073,2,2017-01-26 11:54:50,2017-01-26 12:16:20,1,2.12,1,N,113,161,1,14.0,0.0,0.5,3.7,0.0,0.3,18.5
2799911,2,2017-01-08 16:53:39,2017-01-08 16:58:27,1,0.79,1,N,48,48,1,5.5,0.0,0.5,1.58,0.0,0.3,7.88
9604715,2,2017-01-31 18:10:39,2017-01-31 18:23:52,1,1.82,1,N,229,263,1,10.0,1.0,0.5,2.95,0.0,0.3,14.75
5888159,2,2017-01-12 22:52:59,2017-01-12 23:00:49,2,1.37,1,N,164,161,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
4244112,1,2017-01-20 18:15:43,2017-01-20 18:37:21,1,2.2,1,N,48,107,1,14.5,1.0,0.5,3.25,0.0,0.3,19.55
8550180,2,2017-01-28 16:10:15,2017-01-28 16:20:27,1,1.21,1,N,226,260,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
1603851,2,2017-01-06 03:06:06,2017-01-06 03:12:41,2,2.24,1,N,90,45,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
